"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"A [[rating]] of ""1"" does not [[begin]] to express how dull, [[depressing]] and [[relentlessly]] bad this movie is.","A [[punctuation]] of ""1"" does not [[started]] to express how dull, [[somber]] and [[ceaselessly]] bad this movie is.",0.003706037998199463,0.007917523384094238,0,0,0,59,"Failed"
"I [[sat]] through this on [[TV]] [[hoping]] because of the [[names]] in it that it would be worth the time...but dear Gussie, whoever thought this script was worth producing?","I [[oin]] through this on [[TELEVISIONS]] [[awaiting]] because of the [[naming]] in it that it would be worth the time...but dear Gussie, whoever thought this script was worth producing?",0.006769299507141113,0.0915299654006958,0,0,0,14,"Failed"
"The [[problem]] is the role of the characters in the film.","The [[difficulties]] is the role of the characters in the film.",0.1838957667350769,0.5924196243286133,0,1,0,4,"Successful"
"[[Probably]] [[New]] Zealands worst [[Movie]] ever madeThe Jokes They are not [[funny]].","[[Arguably]] [[Newest]] Zealands worst [[Film]] ever madeThe Jokes They are not [[fun]].",0.0029075145721435547,0.0072196125984191895,0,0,0,27,"Failed"
"[[Cheap]], [[amateurish]], unimaginative, exploitative... but don't [[think]] it'll have redeeming amusement value.About as unentertaining, uninstructive and just plain dull as a [[film]] can be.","[[Cheaper]], [[unprofessional]], unimaginative, exploitative... but don't [[thinking]] it'll have redeeming amusement value.About as unentertaining, uninstructive and just plain dull as a [[cinema]] can be.",0.0030191540718078613,0.005515635013580322,0,0,0,25,"Failed"
"Robert Wagner is the evil boss of Digicron, a telecommunications company with a virus that kills people.","Robert Wagner is the evil boss of Digicron, a telecommunications company with a virus that kills people.",0.6621180772781372,0.6621180772781372,1,1,0,1,"Skipped"
"I've been a Jennifer Connelly [[fan]] [[since]] [[Phenomena]], and after I [[heard]] about seven minutes in heaven, I saw it as soon as I could.","I've been a Jennifer Connelly [[admirer]] [[because]] [[Occurrences]], and after I [[tryout]] about seven minutes in heaven, I saw it as soon as I could.",0.12158304452896118,0.2848873734474182,1,1,1,17,"Failed"
"This [[movie]] was so [[incredibly]] boring, Michael J. [[Fox]] could've done so much better.","This [[cinematography]] was so [[amazingly]] boring, Michael J. [[Foxx]] could've done so much better.",0.004831910133361816,0.016189932823181152,0,0,0,32,"Failed"
"this could have been better,but it was alright...it helped me get away from my boredom.","this could have been better,but it was alright...it helped me get away from my boredom.",0.9447371959686279,0.9447371959686279,1,1,0,1,"Skipped"
"Pet Sematary , though a nice 80's Horror movie, with a [[nice]] [[Director]] and atmosphere, IS a [[copy]] of the Italian [[movie]] ZEDER by Pupi Avati.","Pet Sematary , though a nice 80's Horror movie, with a [[delightful]] [[Superintendent]] and atmosphere, IS a [[copier]] of the Italian [[kino]] ZEDER by Pupi Avati.",0.01080024242401123,0.8737573027610779,0,1,0,26,"Successful"
"[[Although]] I'm a [[girl]], [[thankfully]] I have a [[sense]] of humor and realize that this really IS a funny anime!","[[Despite]] I'm a [[dame]], [[mercifully]] I have a [[feeling]] of humor and realize that this really IS a funny anime!",0.002641022205352783,0.013500332832336426,1,1,1,20,"Failed"
"This [[movie]] [[deals]] with the European ERASMUS [[exchange]] program but more [[generally]] about the European youth.","This [[kino]] [[dealing]] with the European ERASMUS [[exchanges]] program but more [[usually]] about the European youth.",0.009109914302825928,0.14241856336593628,1,1,1,11,"Failed"
"The [[true]] [[story]] of Phoolan Devi who became a national hero in India because she [[fought]] for her rights as a woman but in a violent manner.","The [[truthful]] [[conte]] of Phoolan Devi who became a national hero in India because she [[wrestled]] for her rights as a woman but in a violent manner.",0.025484144687652588,0.15916991233825684,1,1,1,30,"Failed"
"Turning Isherwood's somewhat dark and utterly brilliant novel into light comedic romp could easily have been a recipe for disaster, but somewhow it wasn't .","Turning Isherwood's somewhat dark and utterly brilliant novel into light comedic romp could easily have been a recipe for disaster, but somewhow it wasn't .",0.8539310693740845,0.8539310693740845,0,0,1,1,"Skipped"
"This is a [[great]] movie!","This is a [[tremendous]] movie!",0.008830785751342773,0.017129600048065186,1,1,1,11,"Failed"
"I understand there was some conflict between Leigh and the great Maggie Smith during the filming.","I understand there was some conflict between Leigh and the great Maggie Smith during the filming.",0.710313081741333,0.710313081741333,1,1,0,1,"Skipped"
"I never [[thought]] I would absolutly [[hate]] an Arnold Schwartzeneggar [[film]], BUT this is is dreadful from the [[get]] go.","I never [[brainchild]] I would absolutly [[hates]] an Arnold Schwartzeneggar [[flick]], BUT this is is dreadful from the [[obtains]] go.",0.006016552448272705,0.01314777135848999,0,0,0,31,"Failed"
"It's been [[said]] before--Strangers on a Train is Hitchcock's best movie--and he's made so [[many]] good ones!","It's been [[avowed]] before--Strangers on a Train is Hitchcock's best movie--and he's made so [[myriad]] good ones!",0.0036910176277160645,0.02866840362548828,1,1,1,21,"Failed"
"Ned aKelly is such an important [[story]] to Australians but this [[movie]] is awful.","Ned aKelly is such an important [[history]] to Australians but this [[cinematography]] is awful.",0.008943557739257812,0.01567739248275757,0,0,0,37,"Failed"
"Long, [[boring]], [[blasphemous]].Never have I been so [[glad]] to see ending credits roll.","Long, [[bored]], [[sacrilegious]].Never have I been so [[delighted]] to see ending credits roll.",0.006625711917877197,0.8723210692405701,0,1,0,13,"Successful"
"The [[best]] horror/sci-fi [[movie]] i have ever [[seen]].","The [[better]] horror/sci-fi [[flick]] i have ever [[watched]].",0.004981637001037598,0.016739308834075928,1,1,1,16,"Failed"
"Well, this may be one of the [[worst]] movies ever, but atleast there are some nice t*ts in it.","Well, this may be one of the [[hardest]] movies ever, but atleast there are some nice t*ts in it.",0.37668943405151367,0.7178000211715698,0,1,0,5,"Successful"
"This is a [[really]] interesting film.","This is a [[truthfully]] interesting film.",0.003899812698364258,0.0070989131927490234,1,1,1,6,"Failed"
"Malcolm [[McDowell]] has not had too [[many]] good [[movies]] [[lately]] and this is no different.Especially designed for people who like Yellow filters on their movies.","Malcolm [[mcneill]] has not had too [[myriad]] good [[films]] [[recently]] and this is no different.Especially designed for people who like Yellow filters on their movies.",0.023629188537597656,0.04090571403503418,0,0,0,25,"Failed"
"Boring, predictable, by-the-numbers horror outing at least has pretty good [[special]] effects and plenty of ([[mindless]]) mayhem and gore to [[satisfy]] ([[mindless]]) genre fans.","Boring, predictable, by-the-numbers horror outing at least has pretty good [[peculiar]] effects and plenty of ([[reckless]]) mayhem and gore to [[meet]] ([[reckless]]) genre fans.",0.008310854434967041,0.019131064414978027,0,0,0,21,"Failed"
"The [[Buddy]] [[Holly]] [[Story]] is a [[great]] biography with a super performance from Gary Busey.Busey did his own singing for this film and he does a great job.","The [[Fella]] [[Hol]] [[Storytelling]] is a [[fabulous]] biography with a super performance from Gary Busey.Busey did his own singing for this film and he does a great job.",0.0035837888717651367,0.004833221435546875,1,1,1,38,"Failed"
"One of my [[favorite]] scenes is at the [[beginning]] when [[guests]] on a private [[yacht]] decide to take an impromptu swim - in their underwear!Rather risqué for 1931!","One of my [[preferential]] scenes is at the [[initiates]] when [[guest]] on a private [[sailing]] decide to take an impromptu swim - in their underwear!Rather risqué for 1931!",0.09926491975784302,0.1559019684791565,1,1,1,31,"Failed"
"I [[know]] that the [[real]] [[story]] of Little Richard is a lot more thrilling than this maudlin and thoroughly average biopic.","I [[savoir]] that the [[true]] [[storytelling]] of Little Richard is a lot more thrilling than this maudlin and thoroughly average biopic.",0.00630563497543335,0.41169947385787964,0,0,0,23,"Failed"
"[[So]] that´s what I called a [[bad]], [[bad]] [[film]]... Poor acting, poor directing, terrible writing!","[[Accordingly]] that´s what I called a [[unhealthy]], [[unfavourable]] [[films]]... Poor acting, poor directing, terrible writing!",0.0011879205703735352,0.0023185014724731445,0,0,0,29,"Failed"
"The [[biggest]] heroes, is one of the [[greatest]] movies ever.","The [[largest]] heroes, is one of the [[larger]] movies ever.",0.004240930080413818,0.0114213228225708,1,1,1,24,"Failed"
"This [[film]] has special effects which for it's [[time]] are very [[impressive]].","This [[movie]] has special effects which for it's [[times]] are very [[noteworthy]].",0.009128153324127197,0.044289350509643555,1,1,1,32,"Failed"
"I really enjoyed this movie... [[In]] My DVD collection of baseball [[movies]]... [[Reminded]] me how great the [[sport]] truly is... Whether it's here in America or Japan.","I really enjoyed this movie... [[During]] My DVD collection of baseball [[movie]]... [[Recalled]] me how great the [[sports]] truly is... Whether it's here in America or Japan.",0.005286157131195068,0.007903814315795898,1,1,1,52,"Failed"
"[[Simply]] one of the greatest [[films]] ever made.","[[Mere]] one of the greatest [[film]] ever made.",0.00406038761138916,0.006502985954284668,1,1,1,8,"Failed"
"Ever since I heard of the Ralph Bakshi version of ""The Lord of the Rings"" I wondered: What the hell is 'rotoscope' animation?","Ever since I heard of the Ralph Bakshi version of ""The Lord of the Rings"" I wondered: What the hell is 'rotoscope' animation?",0.9282559752464294,0.9282559752464294,0,0,1,1,"Skipped"
"A [[wonderful]] story...so [[beautiful]] told.","A [[superb]] story...so [[gorgeous]] told.",0.00319671630859375,0.006072819232940674,1,1,1,38,"Failed"
