,review,sentiment,sentences,words
0,"A rating of ""1"" does not begin to express how dull, depressing and relentlessly bad this movie is.",negative,1,18
1,"I sat through this on TV hoping because of the names in it that it would be worth the time...but dear Gussie, whoever thought this script was worth producing?",negative,2,29
2,The problem is the role of the characters in the film.,negative,2,11
3,Probably New Zealands worst Movie ever madeThe Jokes They are not funny.,negative,2,12
4,"Cheap, amateurish, unimaginative, exploitative... but don't think it'll have redeeming amusement value.About as unentertaining, uninstructive and just plain dull as a film can be.",negative,2,24
5,"Robert Wagner is the evil boss of Digicron, a telecommunications company with a virus that kills people.",negative,1,17
6,"I've been a Jennifer Connelly fan since Phenomena, and after I heard about seven minutes in heaven, I saw it as soon as I could.",positive,2,25
7,"This movie was so incredibly boring, Michael J. Fox could've done so much better.",negative,1,14
8,"this could have been better,but it was alright...it helped me get away from my boredom.",negative,2,15
9,"Pet Sematary , though a nice 80's Horror movie, with a nice Director and atmosphere, IS a copy of the Italian movie ZEDER by Pupi Avati.",negative,1,26
10,"Although I'm a girl, thankfully I have a sense of humor and realize that this really IS a funny anime!",positive,2,20
11,This movie deals with the European ERASMUS exchange program but more generally about the European youth.,positive,2,16
12,The true story of Phoolan Devi who became a national hero in India because she fought for her rights as a woman but in a violent manner.,positive,2,27
13,"Turning Isherwood's somewhat dark and utterly brilliant novel into light comedic romp could easily have been a recipe for disaster, but somewhow it wasn't .",positive,2,25
14,This is a great movie!,positive,2,5
15,I understand there was some conflict between Leigh and the great Maggie Smith during the filming.,negative,2,16
16,"I never thought I would absolutly hate an Arnold Schwartzeneggar film, BUT this is is dreadful from the get go.",negative,2,20
17,It's been said before--Strangers on a Train is Hitchcock's best movie--and he's made so many good ones!,positive,2,17
18,Ned aKelly is such an important story to Australians but this movie is awful.,negative,2,14
19,"Long, boring, blasphemous.Never have I been so glad to see ending credits roll.",negative,2,13
20,The best horror/sci-fi movie i have ever seen.,positive,1,8
21,"Well, this may be one of the worst movies ever, but atleast there are some nice t*ts in it.",negative,2,19
22,This is a really interesting film.,positive,2,6
23,Malcolm McDowell has not had too many good movies lately and this is no different.Especially designed for people who like Yellow filters on their movies.,negative,2,25
24,"Boring, predictable, by-the-numbers horror outing at least has pretty good special effects and plenty of (mindless) mayhem and gore to satisfy (mindless) genre fans.",negative,2,24
25,The Buddy Holly Story is a great biography with a super performance from Gary Busey.Busey did his own singing for this film and he does a great job.,positive,2,28
26,One of my favorite scenes is at the beginning when guests on a private yacht decide to take an impromptu swim - in their underwear!Rather risqué for 1931!,positive,2,28
27,I know that the real story of Little Richard is a lot more thrilling than this maudlin and thoroughly average biopic.,negative,2,21
28,"So that´s what I called a bad, bad film... Poor acting, poor directing, terrible writing!",negative,2,15
29,"The biggest heroes, is one of the greatest movies ever.",positive,2,10
30,This film has special effects which for it's time are very impressive.,positive,2,12
31,I really enjoyed this movie... In My DVD collection of baseball movies... Reminded me how great the sport truly is... Whether it's here in America or Japan.,positive,1,27
32,Simply one of the greatest films ever made.,positive,2,8
33,"Ever since I heard of the Ralph Bakshi version of ""The Lord of the Rings"" I wondered: What the hell is 'rotoscope' animation?",positive,2,23
34,A wonderful story...so beautiful told.,positive,1,5
35,This movie was a suprise for me while I was surfing from channel to channel... I don't know why but it filled in me with warmth and happiness.,positive,2,28
36,"This film was Excellent, I thought that the original one was quiet mediocre.",positive,2,13
37,Farrah Fawcett gives an award nominated performance as an attempted rape victim who turns the tables on her attacker.,positive,2,19
38,My definition of a great movie is if you want to continue to see it over again.,positive,2,17
39,This is not the stuff of soap-operas but the sort of conundrums that real people face in real life.,positive,2,19
40,i would give this movie an 8.5 or a 9.,positive,2,10
41,"Probably one of the worst movies ever made, I'm still trying to figure if it was meant to be fun, but for sure I had no fun at all.",negative,2,29
42,"In my opinion, October Sky is one of the best movies of 1999...It totally has everything an emotional drama movie would need, like, wonderful story and good character interactions.",positive,2,29
43,"Cool idea... botched writing, botched directing, botched editing, botched acting.",negative,2,10
44,"'It's easy to kill a monster, but it's hard to kill a human being.",positive,1,14
45,"by the way it looks at the other comments made, it seems that a lot of people did not get the point to the flick.",positive,2,25
46,"After 30+ years of hiatus, once again I immerse myself in the mist of uplifting melancholy.",positive,2,16
47,Outlandish premise that rates low on plausibility and unfortunately also struggles feebly to raise laughs or interest.,negative,2,17
48,"Were I not with friends, and so cheap, I would have walked out.It failed miserably as satire and didn't even have the redemption of camp.",negative,2,25
49,"If it wasn't for the terrific music, I would not hesitate to give this cinematic underachievement 2/10.",negative,2,17
50,"Really bad Italian horror movie, a sort of remake of Hammer infamous Frankenstein must be destroyed, this time with a lady Frankenstein taking over the business from father.",negative,2,28
51,"Although it has been remade several times, this movie is a classic if you are seeing it for the first time.",positive,2,21
52,"As long as you go into this movie knowing that it's terrible: bad acting, bad ""effects,"" bad story, bad... everything, then you'll love it.",positive,2,24
53,I wish they would just make a special section in the video rental stores for movies like this.,negative,2,18
54,"A fine western, following the fate of those who possess the prize winning gun, a Winchester '73.",positive,2,17
55,I decided to hire out this movie along with a few other old horror movies.,negative,2,15
56,For pure gothic vampire cheese nothing can compare to the Subspecies films.I highly recommend each and every one of them.,positive,2,20
57,"Did Sandra (yes, she must have) know we would still be here for her some nine years later?",positive,2,18
58,It is nice to see a show that has a little more content than just blood and guts for a change!,positive,2,21
59,"A great film in its genre, the direction, acting, most especially the casting of the film makes it even more powerful.A must see.",positive,2,23
60,"its too bad that no one knows anything about this movie, and it gets old telling people it's rap's version of spinal tap.",positive,2,23
61,Nicely done evil little comedy pitting the FBI against organized crime with a nice lady caught in the middle.,positive,2,19
62,"Otto Preminger's ""Porgy and Bess"" stands, to date, as a great American musical.",positive,2,13
63,One of those TV films you saw in the seventies that scared the hell out of you when you were a kid but still gives you an eerie feeling.,positive,1,29
64,"Well, I am SO glad I watched this on HBO instead of paying for it in the theaters or video store.",negative,2,21
65,"Despite its interesting premise, 'Sniper' is quite tedious.With a tighter script and sharper directing it could have been electrifying; instead it plods along with little tension.",negative,2,26
66,this is a great movie for all Corey Feldman fans.,positive,2,10
