"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"A [[rating]] of ""1"" does not [[begin]] to [[express]] how [[dull]], [[depressing]] and [[relentlessly]] [[bad]] this [[movie]] is.","A [[notations]] of ""1"" does not [[outset]] to [[shown]] how [[ghoulish]], [[harrowing]] and [[passionately]] [[nasty]] this [[movies]] is.",0.003706037998199463,0.5998517274856567,0,1,0,334,"Successful"
"[[I]] sat through this on [[TV]] [[hoping]] [[because]] of the names in it that it would be [[worth]] the time...but dear Gussie, whoever thought this script was worth [[producing]]?","[[me]] sat through this on [[TELLY]] [[meantime]] [[as]] of the names in it that it would be [[worthy]] the time...but dear Gussie, whoever thought this script was worth [[growers]]?",0.006769299507141113,0.5490020513534546,0,1,0,107,"Successful"
"The [[problem]] is the role of the characters in the film.","The [[themes]] is the role of the characters in the film.",0.1838957667350769,0.9364098310470581,0,1,0,55,"Successful"
"Probably New Zealands [[worst]] Movie ever madeThe Jokes They are not funny.","Probably New Zealands [[finest]] Movie ever madeThe Jokes They are not funny.",0.0029075145721435547,0.7562653422355652,0,1,0,48,"Successful"
"[[Cheap]], amateurish, [[unimaginative]], exploitative... but don't [[think]] it'll [[have]] [[redeeming]] [[amusement]] [[value]].About as unentertaining, uninstructive and just plain [[dull]] as a [[film]] can be.","[[Cheapest]], amateurish, [[uninspiring]], exploitative... but don't [[brainchild]] it'll [[be]] [[redemption]] [[delight]] [[appreciated]].About as unentertaining, uninstructive and just plain [[irksome]] as a [[films]] can be.",0.0030191540718078613,0.5364205837249756,0,1,0,202,"Successful"
"Robert Wagner is the evil boss of Digicron, a telecommunications company with a virus that kills people.","Robert Wagner is the evil boss of Digicron, a telecommunications company with a virus that kills people.",0.6621180772781372,0.6621180772781372,1,1,0,1,"Skipped"
"I've been a Jennifer Connelly fan since Phenomena, and after I heard about seven minutes in heaven, I saw it as [[soon]] as I could.","I've been a Jennifer Connelly fan since Phenomena, and after I heard about seven minutes in heaven, I saw it as [[tad]] as I could.",0.12158304452896118,0.6809135675430298,1,0,1,43,"Successful"
"This movie was so incredibly [[boring]], Michael J. Fox could've done so much better.","This movie was so incredibly [[pierce]], Michael J. Fox could've done so much better.",0.004831910133361816,0.9661803245544434,0,1,0,42,"Successful"
"this could have been better,but it was alright...it helped me get away from my boredom.","this could have been better,but it was alright...it helped me get away from my boredom.",0.9447371959686279,0.9447371959686279,1,1,0,1,"Skipped"
"Pet Sematary , [[though]] a nice 80's Horror movie, with a nice Director and atmosphere, IS a copy of the Italian movie ZEDER by Pupi Avati.","Pet Sematary , [[besides]] a nice 80's Horror movie, with a nice Director and atmosphere, IS a copy of the Italian movie ZEDER by Pupi Avati.",0.01080024242401123,0.819943904876709,0,1,0,31,"Successful"
