"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"A rating of ""1"" does not begin to express how dull, depressing and relentlessly [[bad]] this movie is.","A rating of ""1"" does not begin to express how dull, depressing and relentlessly [[good]] this movie is.",0.003706037998199463,0.9714596271514893,0,1,0,32,"Successful"
"I sat through this on TV hoping because of the names in it that it would be worth the time...but dear Gussie, [[whoever]] thought this script was worth producing?","I sat through this on TV hoping because of the names in it that it would be worth the time...but dear Gussie, [[me]] thought this script was worth producing?",0.006769299507141113,0.6902638673782349,0,1,0,24,"Successful"
"The [[problem]] is the role of the characters in the film.","The [[follow]] is the role of the characters in the film.",0.1838957667350769,0.9279935359954834,0,1,0,48,"Successful"
"Probably New Zealands [[worst]] Movie ever madeThe Jokes They are not funny.","Probably New Zealands [[best]] Movie ever madeThe Jokes They are not funny.",0.0029075145721435547,0.884750485420227,0,1,0,41,"Successful"
"Cheap, amateurish, unimaginative, exploitative... but don't think it'll have redeeming amusement value.About as [[unentertaining]], uninstructive and just plain dull as a film can be.","Cheap, amateurish, unimaginative, exploitative... but don't think it'll have redeeming amusement value.About as [[good]], uninstructive and just plain dull as a film can be.",0.0030191540718078613,0.0063631534576416016,0,0,0,27,"Failed"
"Robert Wagner is the evil boss of Digicron, a telecommunications company with a virus that kills people.","Robert Wagner is the evil boss of Digicron, a telecommunications company with a virus that kills people.",0.6621180772781372,0.6621180772781372,1,1,0,1,"Skipped"
"I've been a Jennifer Connelly fan since Phenomena, and after I heard about seven minutes in heaven, I saw it as [[soon]] as I could.","I've been a Jennifer Connelly fan since Phenomena, and after I heard about seven minutes in heaven, I saw it as [[badly]] as I could.",0.12158304452896118,0.7967142462730408,1,0,1,47,"Successful"
"This movie was so incredibly [[boring]], Michael J. Fox could've done so much better.","This movie was so incredibly [[moving]], Michael J. Fox could've done so much better.",0.004831910133361816,0.9847064018249512,0,1,0,20,"Successful"
"this could have been better,but it was alright...it helped me get away from my boredom.","this could have been better,but it was alright...it helped me get away from my boredom.",0.9447371959686279,0.9447371959686279,1,1,0,1,"Skipped"
"Pet Sematary , [[though]] a nice 80's Horror movie, with a nice Director and atmosphere, IS a copy of the Italian movie ZEDER by Pupi Avati.","Pet Sematary , [[like]] a nice 80's Horror movie, with a nice Director and atmosphere, IS a copy of the Italian movie ZEDER by Pupi Avati.",0.01080024242401123,0.7663571238517761,0,1,0,31,"Successful"
"Although I'm a girl, thankfully I have a sense of humor and realize that this really IS a [[funny]] anime!","Although I'm a girl, thankfully I have a sense of humor and realize that this really IS a [[silly]] anime!",0.002641022205352783,0.5904994010925293,1,0,1,30,"Successful"
"This movie [[deals]] with the European ERASMUS exchange program but more [[generally]] about the European youth.","This movie [[works]] with the European ERASMUS exchange program but more [[seriously]] about the European youth.",0.009109914302825928,0.12542307376861572,1,1,1,30,"Failed"
"The [[true]] story of Phoolan Devi who became a national hero in India because she fought for her rights as a woman but in a violent manner.","The [[original]] story of Phoolan Devi who became a national hero in India because she fought for her rights as a woman but in a violent manner.",0.025484144687652588,0.5584691762924194,1,0,1,29,"Successful"
"Turning Isherwood's somewhat dark and utterly brilliant novel into light comedic romp could easily have been a recipe for disaster, but somewhow it wasn't .","Turning Isherwood's somewhat dark and utterly brilliant novel into light comedic romp could easily have been a recipe for disaster, but somewhow it wasn't .",0.8539310693740845,0.8539310693740845,0,0,1,1,"Skipped"
"This is a [[great]] movie!","This is a [[stupid]] movie!",0.008830785751342773,0.9928738474845886,1,0,1,35,"Successful"
"I understand there was some conflict between Leigh and the great Maggie Smith during the filming.","I understand there was some conflict between Leigh and the great Maggie Smith during the filming.",0.710313081741333,0.710313081741333,1,1,0,1,"Skipped"
"I never thought I would absolutly hate an Arnold Schwartzeneggar film, BUT this is is [[dreadful]] from the get go.","I never thought I would absolutly hate an Arnold Schwartzeneggar film, BUT this is is [[great]] from the get go.",0.006016552448272705,0.9936721920967102,0,1,0,21,"Successful"
"It's been said [[before--Strangers]] on a Train is Hitchcock's best movie--and he's made so many good ones!","It's been said [[someone]] on a Train is Hitchcock's best movie--and he's made so many good ones!",0.0036910176277160645,0.01618558168411255,1,1,1,25,"Failed"
