"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"A [[rating]] of ""1"" does not [[begin]] to express how [[dull]], [[depressing]] and relentlessly [[bad]] this movie is.","A [[ratings]] of ""1"" does not [[start]] to express how [[monotonous]], [[grim]] and relentlessly [[naughty]] this movie is.",0.003706037998199463,0.3965415358543396,0,0,0,4112,"Failed"
"I sat through this on TV [[hoping]] because of the names in it that it would be worth the time...but dear Gussie, [[whoever]] thought this script was worth [[producing]]?","I sat through this on TV [[waits]] because of the names in it that it would be worth the time...but dear Gussie, [[anyone]] thought this script was worth [[generating]]?",0.006769299507141113,0.9554698467254639,0,1,0,689,"Successful"
"The [[problem]] is the role of the characters in the film.","The [[question]] is the role of the characters in the film.",0.1838957667350769,0.7338452339172363,0,1,0,330,"Successful"
"Probably New Zealands [[worst]] Movie ever madeThe Jokes They are not [[funny]].","Probably New Zealands [[roughest]] Movie ever madeThe Jokes They are not [[hilarious]].",0.0029075145721435547,0.9749479293823242,0,1,0,675,"Successful"
"[[Cheap]], [[amateurish]], unimaginative, exploitative... but don't [[think]] it'll have redeeming [[amusement]] [[value]].[[About]] as unentertaining, uninstructive and just plain [[dull]] as a film can be.","[[Inexpensive]], [[dilettante]], unimaginative, exploitative... but don't [[ideas]] it'll have redeeming [[leisure]] [[valued]].[[Toward]] as unentertaining, uninstructive and just plain [[uninspiring]] as a film can be.",0.0030191540718078613,0.05751591920852661,0,0,0,4617,"Failed"
"Robert Wagner is the evil boss of Digicron, a telecommunications company with a virus that kills people.","Robert Wagner is the evil boss of Digicron, a telecommunications company with a virus that kills people.",0.6621180772781372,0.6621180772781372,1,1,0,1,"Skipped"
"I've been a Jennifer Connelly fan [[since]] [[Phenomena]], and after I heard about seven minutes in [[heaven]], I [[saw]] it as soon as I [[could]].","I've been a Jennifer Connelly fan [[after]] [[Appearances]], and after I heard about seven minutes in [[sky]], I [[watched]] it as soon as I [[would]].",0.12158304452896118,0.6627726554870605,1,0,1,1083,"Successful"
"This [[movie]] was so [[incredibly]] [[boring]], Michael J. Fox could've [[done]] so much [[better]].","This [[cinema]] was so [[unbelievably]] [[monotonous]], Michael J. Fox could've [[performed]] so much [[nicer]].",0.004831910133361816,0.14356976747512817,0,0,0,3364,"Failed"
"this could have been better,but it was alright...it helped me get away from my boredom.","this could have been better,but it was alright...it helped me get away from my boredom.",0.9447371959686279,0.9447371959686279,1,1,0,1,"Skipped"
"[[Pet]] Sematary , though a [[nice]] 80's Horror movie, with a [[nice]] Director and atmosphere, IS a copy of the Italian movie ZEDER by Pupi Avati.","[[Caress]] Sematary , though a [[pleasurable]] 80's Horror movie, with a [[delightful]] Director and atmosphere, IS a copy of the Italian movie ZEDER by Pupi Avati.",0.01080024242401123,0.9968236684799194,0,1,0,676,"Successful"
"[[Although]] I'm a [[girl]], [[thankfully]] I have a sense of [[humor]] and [[realize]] that this [[really]] IS a [[funny]] anime!","[[Notwithstanding]] I'm a [[woman]], [[blithely]] I have a sense of [[humour]] and [[realizing]] that this [[actually]] IS a [[comical]] anime!",0.002641022205352783,0.6103172898292542,1,0,1,2230,"Successful"
"This movie [[deals]] with the [[European]] ERASMUS [[exchange]] [[program]] but more [[generally]] about the European [[youth]].","This movie [[deal]] with the [[Europeans]] ERASMUS [[share]] [[programmes]] but more [[traditionally]] about the European [[teenagers]].",0.009109914302825928,0.4893970489501953,1,1,1,3880,"Failed"
"The [[true]] story of Phoolan Devi who [[became]] a national [[hero]] in India because she [[fought]] for her rights as a [[woman]] but in a violent [[manner]].","The [[real]] story of Phoolan Devi who [[becomes]] a national [[heroes]] in India because she [[struggled]] for her rights as a [[girl]] but in a violent [[fashion]].",0.025484144687652588,0.05332076549530029,1,1,1,9815,"Failed"
"Turning Isherwood's somewhat dark and utterly brilliant novel into light comedic romp could easily have been a recipe for disaster, but somewhow it wasn't .","Turning Isherwood's somewhat dark and utterly brilliant novel into light comedic romp could easily have been a recipe for disaster, but somewhow it wasn't .",0.8539310693740845,0.8539310693740845,0,0,1,1,"Skipped"
"This is a [[great]] movie!","This is a [[wonderful]] movie!",0.008830785751342773,0.011386632919311523,1,1,1,2568,"Failed"
"I understand there was some conflict between Leigh and the great Maggie Smith during the filming.","I understand there was some conflict between Leigh and the great Maggie Smith during the filming.",0.710313081741333,0.710313081741333,1,1,0,1,"Skipped"
