"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"A rating of ""1"" does not begin to express how dull, depressing and relentlessly [[bad]] this movie is.","A rating of ""1"" does not begin to express how dull, depressing and relentlessly [[heartless]] this movie is.",0.003706037998199463,0.9722111821174622,0,1,0,385,"Successful"
"I [[sat]] through this on [[TV]] [[hoping]] because of the [[names]] in it that it would be worth the [[time]]...but [[dear]] Gussie, whoever [[thought]] this [[script]] was worth [[producing]]?","I [[rode]] through this on [[TELEVISION]] [[springing]] because of the [[titles]] in it that it would be worth the [[interim]]...but [[darling]] Gussie, whoever [[held]] this [[hand]] was worth [[weaving]]?",0.006769299507141113,0.9931186437606812,0,1,0,6002,"Successful"
"The problem is the role of the [[characters]] in the film.","The problem is the role of the [[hallmarks]] in the film.",0.1838957667350769,0.627003014087677,0,1,0,142,"Successful"
"[[Probably]] New Zealands [[worst]] [[Movie]] [[ever]] madeThe Jokes They are not [[funny]].","[[Besides]] New Zealands [[seediest]] [[Waltz]] [[anciently]] madeThe Jokes They are not [[suspect]].",0.0029075145721435547,0.9981426000595093,0,1,0,12286,"Successful"
"Cheap, amateurish, [[unimaginative]], exploitative... but don't [[think]] it'll have [[redeeming]] [[amusement]] value.[[About]] as unentertaining, uninstructive and just plain [[dull]] as a [[film]] can be.","Cheap, amateurish, [[petrified]], exploitative... but don't [[hold]] it'll have [[complementing]] [[delight]] value.[[Nevertheless]] as unentertaining, uninstructive and just plain [[murky]] as a [[tragicomedy]] can be.",0.0030191540718078613,0.9850900173187256,0,1,0,25374,"Successful"
"Robert Wagner is the evil boss of Digicron, a telecommunications company with a virus that kills people.","Robert Wagner is the evil boss of Digicron, a telecommunications company with a virus that kills people.",0.6621180772781372,0.6621180772781372,1,1,0,1,"Skipped"
"I've been a Jennifer Connelly fan since Phenomena, and after I heard about seven minutes in heaven, I [[saw]] it as soon as I could.","I've been a Jennifer Connelly fan since Phenomena, and after I heard about seven minutes in heaven, I [[cut]] it as soon as I could.",0.12158304452896118,0.9598023891448975,1,0,1,68,"Successful"
"This [[movie]] was so [[incredibly]] [[boring]], Michael J. Fox could've [[done]] so [[much]] better.","This [[polka]] was so [[mistakenly]] [[punching]], Michael J. Fox could've [[existed]] so [[indeed]] better.",0.004831910133361816,0.6186553239822388,0,1,0,11831,"Successful"
"this could have been better,but it was alright...it helped me get away from my boredom.","this could have been better,but it was alright...it helped me get away from my boredom.",0.9447371959686279,0.9447371959686279,1,1,0,1,"Skipped"
"Pet Sematary , though a [[nice]] 80's Horror movie, with a nice Director and atmosphere, IS a copy of the Italian movie ZEDER by Pupi Avati.","Pet Sematary , though a [[esthetic]] 80's Horror movie, with a nice Director and atmosphere, IS a copy of the Italian movie ZEDER by Pupi Avati.",0.01080024242401123,0.9912639856338501,0,1,0,233,"Successful"
"Although I'm a girl, thankfully I have a sense of humor and realize that this really IS a [[funny]] anime!","Although I'm a girl, thankfully I have a sense of humor and realize that this really IS a [[ridiculous]] anime!",0.002641022205352783,0.9828313589096069,1,0,1,346,"Successful"
