"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"A rating of ""[[1]]"" [[does]] [[not]] begin to express how dull, depressing and relentlessly bad this movie is.","A rating of ""[[2]]"" [[doesn't]] begin to express how dull, depressing and relentlessly bad this movie is.",0.003706037998199463,0.0034253597259521484,0,0,0,4,"Failed"
"I sat through this on TV hoping because of the names in it that [[it]] [[would]] be worth the time...but dear [[Gussie]], whoever thought this script was worth producing?","I sat through this on TV hoping because of the names in it that [[it'd]] be worth the time...but dear [[Cristine]], whoever thought this script was worth producing?",0.006769299507141113,0.01181936264038086,0,0,0,8,"Failed"
"The problem is the role of the characters in the film.","The problem is the role of the characters in the film.",0.1838957667350769,0.1838957667350769,0,0,0,1,"Failed"
"Probably New Zealands worst Movie ever madeThe Jokes They [[are]] [[not]] funny.","Probably New Zealands worst Movie ever madeThe Jokes They [[aren't]] funny.",0.0029075145721435547,0.002675771713256836,0,0,0,2,"Failed"
"Cheap, amateurish, unimaginative, exploitative... but [[don't]] think [[it'll]] have redeeming amusement value.About as unentertaining, uninstructive and just plain dull as a film can be.","Cheap, amateurish, unimaginative, exploitative... but [[do]] [[not]] think [[it]] [[will]] have redeeming amusement value.About as unentertaining, uninstructive and just plain dull as a film can be.",0.0030191540718078613,0.0032287240028381348,0,0,0,4,"Failed"
"Robert Wagner is the evil boss of Digicron, a telecommunications company with a virus that kills people.","Robert Wagner is the evil boss of Digicron, a telecommunications company with a virus that kills people.",0.6621180772781372,0.6621180772781372,1,1,0,1,"Skipped"
"[[I've]] been a [[Jennifer]] [[Connelly]] fan since Phenomena, and after I heard about [[seven]] minutes in heaven, I saw it as soon as I could.","[[Sherman]] been a [[Ashish]] [[Bias]] fan since Phenomena, and after I heard about [[nine]] minutes in heaven, I saw it as soon as I could.",0.12158304452896118,0.30438876152038574,1,1,1,30,"Failed"
"This movie was so incredibly boring, [[Michael]] J. [[Fox]] [[could've]] done so much better.","This movie was so incredibly boring, [[Linkin]] J. [[Swindle]] [[could]] [[have]] done so much better.",0.004831910133361816,0.004792511463165283,0,0,0,17,"Failed"
"this could have been better,but it was alright...it helped me get away from my boredom.","this could have been better,but it was alright...it helped me get away from my boredom.",0.9447371959686279,0.9447371959686279,1,1,0,1,"Skipped"
"Pet Sematary , though a nice 80's Horror movie, with a nice Director and atmosphere, IS a copy of the Italian movie ZEDER by [[Pupi]] [[Avati]].","Pet Sematary , though a nice 80's Horror movie, with a nice Director and atmosphere, IS a copy of the Italian movie ZEDER by [[Linsay]] [[Halterman]].",0.01080024242401123,0.011155962944030762,0,0,0,7,"Failed"
